"","Carat","Color","Price"
"1",0.3,"D",506.551091118081
"2",0.31,"D",654.998612964461
"3",0.31,"F",560.122206015563
"4",0.31,"I",433.176437013376
"5",0.32,"F",577.979329938093
"6",0.33,"I",421.706638804648
"7",0.34,"F",614.585131348612
"8",0.35,"F",633.349176580633
"9",0.36,"F",652.28029442588
"10",0.37,"F",557.087908638082
"11",0.4,"F",781.123597627498
"12",0.41,"F",802.90718899593
"13",0.45,"I",623.94652204678
"14",0.5,"F",1718.70178892302
"15",0.5,"F",1573.75898790661
"16",0.51,"F",1766.27131248059
"17",0.52,"D",1710.84824724332
"18",0.52,"F",1816.09210297175
"19",0.52,"F",1659.96618529647
"20",0.53,"D",2034.80990459994
"21",0.53,"F",1865.24130383577
"22",0.53,"F",1703.72710237291
"23",0.54,"F",2151.4821162837
"24",0.55,"F",1794.01050309441
"25",0.56,"F",1839.82390800978
"26",0.56,"I",1314.77576992912
"27",0.6,"F",2340.407847291
"28",0.7,"F",3535.61597201036
"29",0.7,"I",1987.68007173198
"30",0.71,"F",3957.11625253241
"31",0.71,"F",3619.79621347618
"32",0.71,"F",3196.6752027985
"33",0.72,"F",3269.82282389151
"34",0.8,"I",3460.16382255289
"35",0.82,"I",2948.26686816791
"36",0.85,"F",5118.02958112165
"37",0.9,"I",4954.78637821615
"38",0.51,"F",1979.88993587405
"39",0.7,"F",4445.76811197978
"40",0.7,"F",3123.46881209976
"41",0.7,"F",3123.46881209976
"42",0.71,"D",4554.92530412437
"43",0.73,"I",2734.35120968786
"44",0.73,"I",2280.59447317771
"45",0.75,"D",5896.3730131856
"46",0.75,"I",2677.93432777949
"47",0.75,"I",2395.91972007607
"48",0.76,"D",9812.75908683196
"49",0.77,"F",5271.57846043578
"50",0.8,"I",2834.78495057691
"51",0.9,"F",6347.9762651315
"52",1,"D",17548.6623118787
"53",1,"D",12281.3452213044
"54",1,"F",15797.5126957546
"55",1,"F",10955.353712226
"56",1,"F",11157.2542477068
"57",1,"F",9154.72566961023
"58",1,"I",6968.23628199306
"59",1,"I",6551.88665671683
"60",1.01,"D",17908.5537380047
"61",1.01,"F",10442.6947298113
"62",1.01,"F",9305.51192290892
"63",1.01,"I",8179.58705656068
"64",1.01,"I",7521.91795651837
"65",1.01,"I",6666.70506082002
"66",1.02,"F",10605.2028008472
"67",1.02,"F",9456.52649369549
"68",1.04,"F",10927.8488344212
"69",1.04,"I",9289.28651655171
"70",1.05,"I",8033.66435639917
"71",1.07,"I",8294.19374924704
"72",0.18,"F",311.636020344853
"73",0.18,"F",288.950119631475
"74",0.19,"D",368.718563140486
"75",0.19,"F",368.718563140486
"76",0.19,"F",327.379682371015
"77",0.19,"F",302.62022567029
"78",0.2,"D",334.096128965349
"79",0.21,"D",349.563760182551
"80",0.21,"F",405.005632717864
"81",0.23,"F",441.813896616599
"82",0.25,"F",585.426589664139
"83",0.25,"I",415.176045567895
"84",0.26,"F",609.254096981387
"85",0.26,"F",533.390679388285
"86",0.26,"F",488.832015445207
"87",0.26,"I",431.124363797385
"88",0.27,"F",634.246837972063
"89",0.28,"I",463.335126748981
"90",0.29,"I",479.604445113479
"91",0.3,"F",574.04695779023
"92",0.3,"I",505.280900155848
"93",0.31,"F",649.113335046722
"94",0.31,"I",521.422596372594
"95",0.34,"F",715.708476276103
"96",0.34,"F",652.733104724301
"97",0.35,"F",738.229168097102
"98",0.41,"I",643.695265336307
"99",0.41,"I",594.661600103117
"100",0.47,"F",1171.31501681476
"101",0.48,"F",1021.71169297277
"102",0.51,"F",1881.04485393896
"103",0.52,"I",1442.60672847437
"104",0.55,"F",1868.99679807799
"105",0.58,"F",2270.4351146522
"106",0.71,"D",4291.34211508678
"107",0.76,"F",4212.17660749721
"108",1.01,"I",7090.11692667376
"109",0.5,"F",1923.57999043781
"110",0.51,"F",1979.88993587405
"111",0.53,"F",2093.86011916724
"112",0.53,"F",1865.24130383577
"113",0.56,"F",1839.82390800978
"114",0.56,"F",1512.67114255849
"115",0.57,"F",1548.75292875407
"116",0.62,"I",1801.35312774091
"117",0.65,"I",1822.00778759167
"118",0.73,"F",3343.93432777949
"119",0.8,"F",7765.70020481388
"120",0.8,"F",5252.60672847437
"121",0.81,"F",5365.54572327679
"122",0.82,"F",4810.97910207153
"123",0.85,"F",7372.99861296446
"124",0.85,"F",5118.02958112165
"125",1,"D",15628.7131912802
"126",1,"F",12711.9187475613
"127",1,"F",10955.353712226
"128",1,"I",8044.74579355471
"129",1,"I",7393.11333504672
"130",1,"I",6968.23628199306
"131",1,"I",6551.88665671683
"132",1.01,"D",15792.6695314144
"133",1.01,"F",12888.4827550848
"134",1.01,"F",10442.6947298113
"135",1.01,"I",8179.58705656068
"136",1.01,"I",7090.11692667376
"137",1.2,"F",11290.9450672604
"138",1.09,"I",8553.24272597081
